UBC_200_4.txt

VEHICLE     CAPACITY  LOCATIONS  CUSTOMER  OPTIONS  PRIORITIES  NUMTYPS
10		400		209		200		400		3		4

CUSTOMER  DEMAND
0	 10
1	 11
2	 12
3	 15
4	 10
5	 12
6	 15
7	 18
8	 19
9	 15
10	 13
11	 12
12	 19
13	 10
14	 18
15	 11
16	 18
17	 20
18	 19
19	 14
20	 17
21	 14
22	 11
23	 11
24	 16
25	 16
26	 11
27	 10
28	 12
29	 12
30	 12
31	 16
32	 18
33	 15
34	 19
35	 16
36	 19
37	 10
38	 12
39	 18
40	 12
41	 19
42	 20
43	 11
44	 17
45	 18
46	 10
47	 15
48	 14
49	 12
50	 17
51	 17
52	 18
53	 12
54	 20
55	 15
56	 14
57	 17
58	 17
59	 15
60	 13
61	 14
62	 16
63	 10
64	 13
65	 15
66	 13
67	 17
68	 13
69	 20
70	 11
71	 13
72	 16
73	 17
74	 17
75	 10
76	 16
77	 19
78	 12
79	 10
80	 11
81	 15
82	 14
83	 17
84	 20
85	 19
86	 10
87	 17
88	 12
89	 13
90	 12
91	 12
92	 17
93	 12
94	 16
95	 19
96	 12
97	 13
98	 14
99	 17
100	 11
101	 11
102	 13
103	 13
104	 10
105	 12
106	 13
107	 10
108	 13
109	 11
110	 15
111	 18
112	 15
113	 13
114	 12
115	 11
116	 17
117	 13
118	 15
119	 14
120	 12
121	 20
122	 13
123	 16
124	 18
125	 10
126	 20
127	 12
128	 16
129	 15
130	 18
131	 15
132	 16
133	 10
134	 15
135	 13
136	 20
137	 10
138	 14
139	 18
140	 11
141	 17
142	 11
143	 19
144	 11
145	 13
146	 19
147	 10
148	 15
149	 15
150	 20
151	 10
152	 17
153	 20
154	 20
155	 17
156	 15
157	 13
158	 19
159	 18
160	 12
161	 12
162	 17
163	 15
164	 10
165	 18
166	 16
167	 17
168	 11
169	 20
170	 12
171	 17
172	 19
173	 20
174	 14
175	 12
176	 12
177	 14
178	 17
179	 11
180	 15
181	 17
182	 14
183	 19
184	 12
185	 15
186	 19
187	 10
188	 20
189	 17
190	 17
191	 13
192	 20
193	 15
194	 16
195	 15
196	 19
197	 12
198	 14
199	 19

LOCATION  XCOORD  YCOORD  CAP  READY  DUE  TYP  SERVICETIME
0		27		1		-1		0		720	 0		0
1		21		17		-1		115		355		 2		6
2		30		44		-1		468		588		 2		6
3		40		25		-1		0		360		 2		6
4		7		1		-1		137		377		 2		6
5		9		49		-1		360		720		 2		6
6		46		22		-1		0		360		 2		6
7		15		48		-1		412		532		 2		6
8		26		48		-1		0		360		 2		6
9		33		20		-1		409		529		 2		6
10		18		3		-1		0		360		 2		6
11		15		42		-1		0		360		 2		6
12		13		35		-1		95		215		 2		6
13		40		15		-1		153		273		 2		6
14		26		45		-1		0		360		 2		6
15		19		13		-1		59		179		 2		6
16		32		44		-1		0		360		 2		6
17		50		48		-1		149		389		 2		6
18		3		21		-1		0		360		 2		6
19		5		20		-1		156		396		 2		6
20		37		48		-1		522		642		 2		6
21		4		16		-1		360		720		 2		6
22		10		7		-1		81		201		 2		6
23		42		1		-1		360		720		 2		6
24		1		17		-1		0		360		 2		6
25		18		14		-1		117		357		 2		6
26		33		23		-1		44		284		 2		6
27		17		30		-1		1		121		 2		6
28		5		14		-1		209		329		 2		6
29		31		9		-1		61		181		 2		6
30		43		12		-1		440		680		 2		6
31		14		30		-1		0		360		 2		6
32		37		15		-1		360		720		 2		6
33		18		48		-1		147		267		 2		6
34		4		20		-1		31		271		 2		6
35		32		5		-1		121		241		 2		6
36		2		3		-1		588		708		 2		6
37		16		7		-1		56		176		 2		6
38		40		40		-1		578		698		 2		6
39		49		20		-1		93		213		 2		6
40		9		14		-1		575		695		 2		6
41		24		13		-1		360		720		 2		6
42		26		50		-1		139		259		 2		6
43		8		29		-1		360		720		 2		6
44		6		42		-1		360		720		 2		6
45		4		26		-1		449		689		 2		6
46		44		20		-1		272		512		 2		6
47		2		41		-1		360		720		 2		6
48		25		42		-1		134		254		 2		6
49		21		40		-1		360		720		 2		6
50		24		26		-1		360		720		 2		6
51		21		10		-1		360		720		 2		6
52		31		22		-1		0		360		 2		6
53		10		10		-1		462		702		 2		6
54		12		35		-1		126		246		 2		6
55		46		19		-1		0		360		 2		6
56		31		43		-1		197		437		 2		6
57		50		37		-1		56		296		 2		6
58		40		24		-1		345		585		 2		6
59		10		15		-1		468		708		 2		6
60		26		43		-1		397		637		 2		6
61		21		49		-1		121		241		 2		6
62		48		9		-1		21		261		 2		6
63		26		5		-1		105		225		 2		6
64		31		17		-1		360		720		 2		6
65		38		17		-1		0		360		 2		6
66		25		12		-1		186		306		 2		6
67		31		28		-1		415		535		 2		6
68		42		23		-1		0		360		 2		6
69		26		6		-1		360		720		 2		6
70		21		15		-1		0		360		 2		6
71		9		12		-1		360		720		 2		6
72		45		12		-1		360		720		 2		6
73		36		32		-1		360		720		 2		6
74		20		10		-1		152		272		 2		6
75		27		35		-1		10		130		 2		6
76		29		16		-1		584		704		 2		6
77		28		37		-1		0		360		 2		6
78		39		47		-1		360		720		 2		6
79		8		14		-1		451		571		 2		6
80		41		3		-1		160		400		 2		6
81		33		35		-1		553		673		 2		6
82		5		2		-1		70		190		 2		6
83		42		43		-1		387		507		 2		6
84		10		25		-1		360		720		 2		6
85		32		17		-1		149		269		 2		6
86		43		19		-1		138		258		 2		6
87		28		30		-1		590		710		 2		6
88		42		24		-1		0		360		 2		6
89		50		41		-1		523		643		 2		6
90		1		2		-1		42		282		 2		6
91		38		5		-1		458		578		 2		6
92		5		21		-1		360		720		 2		6
93		38		46		-1		524		644		 2		6
94		48		22		-1		278		518		 2		6
95		29		18		-1		432		672		 2		6
96		4		40		-1		43		163		 2		6
97		6		28		-1		416		536		 2		6
98		14		1		-1		377		497		 2		6
99		41		37		-1		470		590		 2		6
100		34		22		-1		0		360		 2		6
101		31		1		-1		0		360		 2		6
102		38		42		-1		14		254		 2		6
103		22		9		-1		132		372		 2		6
104		3		23		-1		363		483		 2		6
105		3		1		-1		173		413		 2		6
106		45		48		-1		360		720		 2		6
107		49		2		-1		217		337		 2		6
108		20		47		-1		131		251		 2		6
